title,description
VATT1,Vehicle and Traffic                                    TITLE I                           WORDS AND PHRASES DEFINED     Article 1.  Words and phrases defined.
VATT2,Vehicle and Traffic                                   TITLE II                  DEPARTMENT OF MOTOR VEHICLES; COMMISSIONER   Article  2.   Department of motor vehicles; commissioner.           2-A. Adjudication of traffic infractions.           2-B. Adjudication of parking infractions.           3.   Exemption of non-resident owners and operators.           3-A. Administrative appeals.
VATT3,"Vehicle and Traffic                                   TITLE III             SAFETY RESPONSIBILITY; FINANCIAL SECURITY; EQUIPMENT;              INSPECTION; SIZE AND WEIGHT; AND OTHER PROVISIONS   Article  4.    Application of this title.           5.    Periodic inspection of motor vehicles.           5-A.  (Enacted without article heading).           6.    Motor vehicle financial security act.           7.    Motor vehicle safety responsibility act.           8.    Indemnity   bonds   or  insurance  policies  on  vehicles                   transporting passengers for hire.           9.    Equipment of motor vehicles and motor cycles.          10.    Dimensions and weights of vehicles.          11.    Civil liability.          12.    Other provisions.          12-A.  Motor vehicle repair shop registration act.          12-B.  Approval of motor vehicle accident prevention courses.          12-C.  Accident prevention course internet, and other technology                   pilot program."
VATT4,Vehicle and Traffic                                   TITLE IV                           REGISTRATION OF VEHICLES   Article  13.    Application of this title.           14.    Registration of motor vehicles.           14-A.  Apportionment   or   allocation   of   registration  fee                    agreement.           14-B.  Bus taxation proration and reciprocity agreement.           15.    Registration of motorcycles.           15-A.  Reciprocity  agreements  for  the  recognition  of   the                    agricultural truck registration class.           16.    Registration of dealers and transporters.           17.    Other    provisions   relating   to   registration   and                    possession.           17-A.  Franchised motor vehicle dealer act.           17-A*. Non-driver identification card.           17-B.  Interjurisdictional   pre-arranged   for-hire    vehicle                    operation.           17-C.  Metropolitan     commuter     transportation    district                    supplemental registration fee.
VATT5,Vehicle and Traffic                                    TITLE V                               DRIVERS' LICENSES   Article 18.   Application of this title.          19.   Licensing of drivers.          19-A. Special requirements for bus drivers.          19-B. Special requirements for commercial motor carriers.          20.   Suspension and revocation.          21.   Alcohol and drug rehabilitation program.          21-A. Restricted use licenses.          21-B. Medical advisory board.          21-C. Certificates for escort vehicles.
VATT6,Vehicle and Traffic                                   TITLE VI                        ACCIDENTS AND ACCIDENT REPORTS   Article 22. Accidents and accident reports.
VATT7,"Vehicle and Traffic                                   TITLE VII                               RULES OF THE ROAD   Article 23.   Obedience to and effect of traffic laws.          24.   Traffic signs, signals and markings.          25.   Driving  on right side of roadway, overtaking and passing,                  etc.          26.   Right of way.          27.   Pedestrians' rights and duties.          28.   Turning and starting and signals on stopping and turning.          29.   Special stops required.          30.   Speed restrictions.          31.   Reckless driving  and  driving  while  in  an  intoxicated                  condition.          32.   Stopping, standing, and parking.          33.   Miscellaneous rules.          34.   Operation of bicycles and play devices.          34-A. Operation of motorcycles.          34-B. Riding horses."
VATT8,Vehicle and Traffic                                  TITLE VIII               RESPECTIVE POWERS OF STATE AND LOCAL AUTHORITIES   Article 35.   Uniform statewide application.          36.   State department of transportation.          37.   Regulation  of traffic by department of transportation and                  other state authorities.          38.   Regulation  of   traffic   by   public   authorities   and                  commissions.          39.   Regulation of traffic by cities and villages.          40.   Regulation   of   traffic   by  county  superintendent  of                  highways.          41.   Regulation of traffic by towns.          42.   Regulation of traffic  by  local  authorities  and  school                  districts.          43.   Traffic safety boards.          43-A. Special   traffic   options   program  for  driving  while                  intoxicated.          44.   Traffic-control devices.          44-A. Authority of the Nassau and Suffolk county district  court                  judicial hearing officers.
VATT9,Vehicle and Traffic                                   TITLE IX              PENALTIES AND DISPOSITION OF FINES AND FORFEITURES   Article 45. Penalties and disposition of fines and forfeitures.
VATT10,Vehicle and Traffic                                    TITLE X                   UNIFORM VEHICLE CERTIFICATE OF TITLE ACT   Article 46. Uniform vehicle certificate of title act.
VATT11,"Vehicle and Traffic                                   TITLE XI                    REGISTRATION OF SNOWMOBILES, MOTORBOATS                          AND LIMITED USE VEHICLES   Article  47.   Registration of snowmobiles.           48.   Registration of vessels.           48-A. Registration of limited use vehicles.           48-B. Registration of all terrain vehicles.           48-C. Rules for operation of all terrain vehicles."
VATT12,Vehicle and Traffic                                   TITLE XII                     EFFECT OF AND SHORT TITLE OF CHAPTER;                       SAVING CLAUSES; LAWS REPEALED;                             TIME TO TAKE EFFECT   Article 49. Effect of and short title of chapter.          50. Saving clauses; laws repealed; time to take effect.
